title,urls
To Kill a Mockingbird,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone
Pride and Prejudice,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
The Diary of a Young Girl,https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl
Animal Farm,https://www.goodreads.com/book/show/170448.Animal_Farm
The Little Prince,https://www.goodreads.com/book/show/157993.The_Little_Prince
1984,https://www.goodreads.com/book/show/61439040-1984
The Great Gatsby,https://www.goodreads.com/book/show/4671.The_Great_Gatsby
The Catcher in the Rye,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
The Lord of the Rings,https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
The Book Thief,https://www.goodreads.com/book/show/19063.The_Book_Thief
Jane Eyre,https://www.goodreads.com/book/show/10210.Jane_Eyre
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
Lord of the Flies,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies
Romeo and Juliet,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
The Kite Runner,https://www.goodreads.com/book/show/77203.The_Kite_Runner
"The Giver (The Giver, #1)",https://www.goodreads.com/book/show/3636.The_Giver
The Giving Tree,https://www.goodreads.com/book/show/370493.The_Giving_Tree
Charlotte's Web,https://www.goodreads.com/book/show/24178.Charlotte_s_Web
Little Women,https://www.goodreads.com/book/show/1934.Little_Women
"The Hunger Games (The Hunger Games, #1)",https://www.goodreads.com/book/show/2767052-the-hunger-games
"The Hobbit (The Lord of the Rings, #0)",https://www.goodreads.com/book/show/5907.The_Hobbit
Of Mice and Men,https://www.goodreads.com/book/show/890.Of_Mice_and_Men
Fahrenheit 451,https://www.goodreads.com/book/show/13079982-fahrenheit-451
Green Eggs and Ham,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Wuthering Heights,https://www.goodreads.com/book/show/6185.Wuthering_Heights
Alice's Adventures in Wonderland / Through the Looking-Glass,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
The Picture of Dorian Gray,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray
"Night (The Night Trilogy, #1)",https://www.goodreads.com/book/show/1617.Night
Gone with the Wind,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind
The Holy Bible: King James Version,https://www.goodreads.com/book/show/1923820.The_Holy_Bible
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy
Hamlet,https://www.goodreads.com/book/show/1420.Hamlet
