title,urls
"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",https://www.goodreads.com/book/show/42844155-harry-potter-and-the-sorcerer-s-stone
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory
The Princess Bride,https://www.goodreads.com/book/show/21787.The_Princess_Bride
"Interview with the Vampire (The Vampire Chronicles, #1)",https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire
Fight Club,https://www.goodreads.com/book/show/36236124-fight-club
"The Wonderful Wizard of Oz (Oz, #1)",https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz
The Three Musketeers,https://www.goodreads.com/book/show/7190.The_Three_Musketeers
Emma,https://www.goodreads.com/book/show/6969.Emma
Oliver Twist,https://www.goodreads.com/book/show/18254.Oliver_Twist
A Prayer for Owen Meany,https://www.goodreads.com/book/show/4473.A_Prayer_for_Owen_Meany
Rebecca,https://www.goodreads.com/book/show/17899948-rebecca
Persuasion,https://www.goodreads.com/book/show/2156.Persuasion
Bridge to Terabithia,https://www.goodreads.com/book/show/40940121-bridge-to-terabithia
"A Game of Thrones (A Song of Ice and Fire, #1)",https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
Perfume: The Story of a Murderer,https://www.goodreads.com/book/show/343.Perfume
,https://www.goodreads.com/book/show/2998.The_Secret_Garden
,https://www.goodreads.com/book/show/53499615-the-asset
,https://www.goodreads.com/book/show/6148028-catching-fire
,https://www.goodreads.com/book/show/61846256-scavenger-hunt
,https://www.goodreads.com/book/show/151908910-how-it-unfolds
,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
,https://www.goodreads.com/book/show/36236125-invisible-monsters
,https://www.goodreads.com/book/show/40996287-the-nowhere-man
,https://www.goodreads.com/book/show/60659597-the-virgins-of-venice
,https://www.goodreads.com/book/show/28187.The_Lightning_Thief
,https://www.goodreads.com/book/show/19288043-gone-girl
,https://www.goodreads.com/book/show/99107.Winnie_the_Pooh
,https://www.goodreads.com/book/show/62986809-pericles-and-aspasia
,https://www.goodreads.com/book/show/122996469-night-owl
,https://www.goodreads.com/book/show/89073278-black-fire
,https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath
,https://www.goodreads.com/book/show/59836138-dark-state
,https://www.goodreads.com/book/show/59717828-the-sacred-well-murders
,https://www.goodreads.com/book/show/7069.The_World_According_to_Garp
,https://www.goodreads.com/book/show/74951328-burned-out
,https://www.goodreads.com/book/show/94399604-the-alchemy-fire-murder
,https://www.goodreads.com/book/show/63066305-savage-grounds
,https://www.goodreads.com/book/show/49382938-flash-point
,https://www.goodreads.com/book/show/197884156-the-last-run
,https://www.goodreads.com/book/show/60234446-the-southern-lawyer
,https://www.goodreads.com/book/show/59245765-lost-identity
,https://www.goodreads.com/book/show/24345258-hiding-places
,https://www.goodreads.com/book/show/12926063-skagboys
,https://www.goodreads.com/book/show/109238891-code-red
,https://www.goodreads.com/book/show/60241525-oath-of-loyalty
,https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness
,https://www.goodreads.com/book/show/201853669-seasonable-doubt
,https://www.goodreads.com/book/show/54860442-the-black-order
,https://www.goodreads.com/book/show/42583906-by-the-unholy-hand
,https://www.goodreads.com/book/show/37190.The_Tale_of_Despereaux
,https://www.goodreads.com/book/show/19675.Executive_Orders
,https://www.goodreads.com/book/show/25499718-children-of-time
,https://www.goodreads.com/book/show/123394658-swift-judgment
,https://www.goodreads.com/book/show/119322.The_Golden_Compass
,https://www.goodreads.com/book/show/4406.East_of_Eden
,https://www.goodreads.com/book/show/93517.Dragon_Seed
,https://www.goodreads.com/book/show/295.Treasure_Island
,https://www.goodreads.com/book/show/56953264-the-sleeper
,https://www.goodreads.com/book/show/157993.The_Little_Prince
,https://www.goodreads.com/book/show/60306511-lady-in-waiting
,https://www.goodreads.com/book/show/124983012-burning-evidence
,https://www.goodreads.com/book/show/151908306-the-long-game
,https://www.goodreads.com/book/show/48499436-the-lady-of-the-tower
,https://www.goodreads.com/book/show/59687517-son-of-mercia
,https://www.goodreads.com/book/show/40614321-second-son
,https://www.goodreads.com/book/show/13831.Alanna
,https://www.goodreads.com/book/show/202924917-the-namatjira-connection
,https://www.goodreads.com/book/show/53890043-a-time-for-swords
,https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring
,https://www.goodreads.com/book/show/28335696-persepolis-rising
,https://www.goodreads.com/book/show/62206854-the-man-without-a-face
,https://www.goodreads.com/book/show/42933.Tai_Pan
,https://www.goodreads.com/book/show/27111181-paradox-effect
,https://www.goodreads.com/book/show/48714547-starship-sakira
